track_id,track_name,track_number,track_popularity,track_duration_min,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type
0tShdTlRbZas6OFwEkX56U,you mean the whole wide world to me,3,43,1.816,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
1f9HYCR1ead1mNn5WsnMEn,tonight you belong to me (sing-a-long),15,35,1.324,False,Christina Perri,71.0,4308713.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
0fpC8u0M88v0DDIZJ4VHHq,a thousand years (lullaby) [sing-a-long],19,38,2.8546666666666667,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
5wtOHGEoLWLfQyqskk7C6s,you are my sunshine (sing-a-long),11,37,1.3088833333333334,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
4aVmfly4CkmibiRLn5AHc2,a dream is a wish your heart makes,4,48,2.08755,False,Christina Perri,71.0,4308713.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
6XDcPFkoOIq7HSYPPsISMK,a thousand years (lullaby),9,49,2.854216666666667,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
1SMb9R9lWqJYCDFWIj8vnY,stay awake (sing-a-long),20,35,1.0711,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
4XzkS1hmMdenBmmbLbjorO,remember me,7,51,0.9953333333333333,False,Christina Perri,71.0,4308713.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
2Lt3LhlDf1dAKsZfzCZsIF,you've got a friend in me (sing-a-long),18,33,1.6602166666666667,False,Christina Perri,71.0,4308239.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
4xD54NS4r4CCwuyIrYMEtV,you mean the whole wide world to me (sing-a-long),13,36,1.81555,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
159ip0G1kN9u68FsczBhLj,a dream is a wish your heart makes (sing-a-long),14,37,2.0877666666666665,False,Christina Perri,71.0,4307803.0,soft pop,3xl0OvcSlc9Mwe5ToaFtD3,songs for carmella: lullabies & sing-a-longs,2019-01-17,20,album
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),1,73,2.8504833333333335,False,Sam Smith,81.0,26275803.0,soft pop,1V9oE8bVilClrk5naqyyvL,Dancing With A Stranger (with Normani),2019-01-11,1,single
6zYuVnHTZQbFSQ9BAhhf9S,"i hate u, i love u (feat. olivia o'brien)",12,51,4.183983333333333,True,gnash,58.0,1588874.0,N/A,2UqlRqWxfYnlQFEgNoot7v,we,2019-01-11,13,album
65JsZjtcpCGHddnu5Em7ie,Dust on The Road,1,23,2.4,False,Roberto Diana,24.0,2785.0,N/A,5QgcNH93kzdWgSlw5bIUd7,Dust on The Road,2019-01-11,1,single
7tGEAA1f8MydT7eVbbO9Zy,WHEN I WAS OLDER - Music Inspired By The Film ROMA,1,61,4.50865,False,Billie Eilish,90.0,118692183.0,N/A,0LgnntyagLdfW5Dz2OSYHU,WHEN I WAS OLDER (Music Inspired By The Film ROMA),2019-01-09,1,single
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,7,4,2.64285,False,Surfaces,61.0,983406.0,N/A,3mMWlBGocBwsS1Q0o9wvlc,Where the Light Is,2019-01-06,10,album
5aozioXEMgxyttOvxCsckp,Unshaken,1,57,3.87835,False,D'Angelo,69.0,1429201.0,neo soul,5esDxI1Ii86YJV3O3P1p9R,Unshaken,2019-01-04,1,single
747MaVDuuzwkpKx0rlnOnZ,Rise,2,51,3.919383333333333,False,Yaima,52.0,146763.0,N/A,3qYVQgnzc7tOPVK33EKUvF,Antidote,2018-12-29,11,album
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,11,76,2.9908166666666665,True,A Boogie Wit da Hoodie,77.0,8987309.0,melodic rap,3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,2018-12-21,20,album
3c4e5bs1Y9txBubMx2al9G,Back to Life - 80s Remix,2,39,3.2308833333333333,False,Hailee Steinfeld,66.0,8862427.0,N/A,5uaGbt3JKOTJRBcB2EYf4x,"Back to Life (from ""Bumblebee"")",2018-12-21,2,single
2t8yVaLvJ0RenpXUIAC52d,a lot,1,78,4.8104,True,21 Savage,84.0,23799771.0,N/A,007DWn799UWvfY1wwZeENR,i am > i was,2018-12-21,15,album
2qGfZAgDe1pV2y5xJAhi6R,Slime Belief,2,67,3.2101,True,YoungBoy Never Broke Again,84.0,14936207.0,N/A,3o5se5blwiAdJPk8yAw1EQ,Realer,2018-12-20,12,album
7pBsquIkbED6W6uSQJGbkn,Home,13,55,3.522666666666667,False,Vince Staples,65.0,2030506.0,N/A,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,13,compilation
7cFFhb9Wz2ZXLSpEk2VDKd,Way Up,3,57,2.562883333333333,False,Jaden,63.0,1943829.0,N/A,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,13,compilation
5F2AuFzEiuAQD0JVNjVJQz,Let Go,10,59,2.9608833333333333,False,Beau Young Prince,41.0,21939.0,N/A,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,13,compilation
40Rpg3LkZwwzuHJ3GdjMma,Gnarly (feat. Lil Pump),4,52,3.1067,True,Kodak Black,79.0,12471348.0,N/A,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,16,album
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,2,81,2.634,False,Post Malone,85.0,47716988.0,N/A,35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,13,compilation
3fMNMAP51H7NywqzoukIRy,Numb,1,45,2.2312666666666665,False,Carlie Hanson,45.0,470367.0,N/A,7HhDjsXxVeXTOewlUukgVx,Numb,2018-12-14,1,single
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,29,81,3.9833333333333334,False,ZAYN,77.0,24105967.0,N/A,1DF9B2hfwX4EdgEFwGcRwh,Icarus Falls,2018-12-14,29,album
6SRWhUJcD2YKahCwHavz3X,Darkside,11,73,3.528,False,Alan Walker,78.0,41264069.0,N/A,3nzuGtN3nXARvvecier4K0,Different World,2018-12-14,15,album
698ItKASDavgwZ3WjaWjtz,Faded,15,79,3.5351,False,Alan Walker,78.0,41268567.0,N/A,3nzuGtN3nXARvvecier4K0,Different World,2018-12-14,15,album
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),5,77,3.81265,True,Kodak Black,79.0,12471348.0,N/A,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,16,album
3vWzyGTu6Ovo1GdrcJqH6e,Scared of the Dark (feat. XXXTENTACION),11,70,3.8833333333333333,False,Lil Wayne,86.0,17928214.0,"rap, hip hop",35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,13,compilation
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,3,82,3.99725,True,Juice WRLD,85.0,42551578.0,"melodic rap, emo rap",6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,2018-12-10,17,album
2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,11,75,3.3860166666666665,True,Gucci Mane,76.0,5987438.0,"southern hip hop, rap, trap",5xqQtdlJUY7Fg4BMp13LrX,Evil Genius,2018-12-07,18,album
1ZuNmHmJn8QiS9kRYZuLNJ,Wait a Minute!,7,33,3.275333333333333,False,WILLOW,68.0,2981715.0,N/A,2G4BowCb2oGMU2bfCdiWLq,Coldest Winter,2018-12-07,25,compilation
7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),1,76,2.84615,False,benny blanco,72.0,1626627.0,N/A,7dQ734EW0iLvQfF6vBFNiZ,FRIENDS KEEP SECRETS,2018-12-07,7,album
0w6X9iRKrMyDpRRtbu4tE0,Hymn for the Weekend - Live in Buenos Aires,13,44,5.0491,False,Coldplay,88.0,60818952.0,N/A,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,2018-12-07,24,album
10eXsD5sfI2xBPLz4elMlB,Moment Of Respite,3,33,2.7777666666666665,False,Mikolai Stroinski,52.0,24104.0,"medieval, soundtrack",3dB7GJBPHfEPtaQ38yLBpX,Thronebreaker: The Witcher Tales (Original Game Soundtrack),2018-12-05,28,album
1UaYT2vE5plDKPD8kKOVGQ,Hela,13,37,4.266666666666667,False,David García Díaz,37.0,6444.0,N/A,1ihHcMdKtZ3qY5eRXYxcl8,Hellblade: Senua's Sacrifice (Original Soundtrack),2018-12-04,13,album
6roFHBn0kFsj0H0ud7gSTn,Dillion,9,30,2.7093833333333333,False,David García Díaz,37.0,6438.0,N/A,1ihHcMdKtZ3qY5eRXYxcl8,Hellblade: Senua's Sacrifice (Original Soundtrack),2018-12-04,13,album
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),9,73,3.0087,True,Meek Mill,72.0,8277770.0,rap,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,19,album
1ThmUihH9dF8EV08ku5AXN,Faucet Failure,11,67,2.4271,True,Ski Mask The Slump God,68.0,6052038.0,N/A,0z0z4DcXhHiobX5ZKAw8Qn,STOKELEY,2018-11-30,13,album
